budget,revenue,vote_average,vote_count,imdbID,Title,Year,Genre,Metascore,imdbRating,studio_type,audience_score,metascore_10,gap
110000000,473990832,6.248,9100,tt2126355,San Andreas,2015,"Action, Adventure, Thriller",43.0,6.1,major,6.1739999999999995,4.3,1.8739999999999997
155000000,440603537,5.959,9057,tt1340138,Terminator Genisys,2015,"Action, Adventure, Sci-Fi",38.0,6.3,major,6.1295,3.8,2.3295000000000003
70000000,297718711,6.953,8876,tt5164214,Ocean's Eight,2018,"Action, Comedy, Crime",61.0,6.3,major,6.6265,6.1,0.5265000000000004
110000000,169801921,6.109,8636,tt1219827,Ghost in the Shell,2017,"Action, Crime, Drama",52.0,6.3,major,6.2044999999999995,5.2,1.0044999999999993
75000000,875457937,6.3,8567,tt2709768,The Secret Life of Pets,2016,"Animation, Adventure, Comedy",61.0,6.5,major,6.4,6.1,0.3000000000000007
69000000,177900000,6.081,8560,tt1469304,Baywatch,2017,"Action, Comedy, Crime",37.0,5.5,major,5.7905,3.7,2.0904999999999996
175000000,966550600,6.877,8558,tt3040964,The Jungle Book,2016,"Animation, Action, Adventure",77.0,7.3,major,7.0885,7.7,-0.6115000000000004
94000000,274650803,6.365,8420,tt1365519,Tomb Raider,2018,"Action, Adventure, Fantasy",48.0,6.3,major,6.3325,4.8,1.5324999999999998
55000000,371985018,6.67,8396,tt4477536,Fifty Shades Freed,2018,"Drama, Mystery, Romance",31.0,4.6,major,5.635,3.1,2.5349999999999997
50100000,153962963,6.872,8342,tt2381941,Focus,2015,"Comedy, Crime, Drama",56.0,6.6,major,6.736,5.6,1.1360000000000001
150000000,530517320,6.252,8269,tt4779682,The Meg,2018,"Action, Adventure, Horror",46.0,5.7,major,5.976,4.6,1.3760000000000003
20000000,256071218,6.944,8167,tt6857112,Us,2019,"Horror, Mystery, Thriller",81.0,6.8,major,6.872,8.1,-1.2279999999999998
68000000,215863606,6.326,8063,tt2637276,Ted 2,2015,Comedy,48.0,6.3,major,6.313,4.8,1.513
55000000,381545846,6.473,7980,tt4465564,Fifty Shades Darker,2017,"Drama, Mystery, Romance",33.0,4.6,major,5.5365,3.3,2.2365000000000004
200000000,760098996,6.827,7840,tt6806448,Fast & Furious Presents: Hobbs & Shaw,2019,"Action, Adventure, Thriller",60.0,6.4,major,6.6135,6.0,0.6135000000000002
60000000,240800000,7.205,7781,tt3263904,Sully,2016,"Biography, Drama, History",74.0,7.4,major,7.3025,7.4,-0.09750000000000014
200000000,726229501,6.991,7774,tt5433138,F9: The Fast Saga,2021,"Action, Crime, Thriller",58.0,5.2,major,6.0954999999999995,5.8,0.29549999999999965
125000000,409231607,5.521,7709,tt2345759,The Mummy,2017,"Action, Adventure, Fantasy",34.0,5.4,major,5.4605,3.4,2.0604999999999998
80000000,1034800131,6.47,7695,tt3469046,Despicable Me 3,2017,"Animation, Adventure, Comedy",49.0,6.3,major,6.385,4.9,1.4849999999999994
55000000,297372261,7.431,7502,tt8332922,A Quiet Place Part II,2020,"Drama, Horror, Sci-Fi",71.0,7.2,major,7.3155,7.1,0.21550000000000047
95000000,543514353,6.826,7455,tt1661199,Cinderella,2015,"Adventure, Drama, Family",67.0,6.9,major,6.8629999999999995,6.7,0.16299999999999937
44000000,155160045,7.138,7456,tt2140479,The Accountant,2016,"Action, Crime, Drama",51.0,7.3,major,7.218999999999999,5.1,2.1189999999999998
190000000,209200000,6.298,7405,tt1964418,Tomorrowland,2015,"Action, Adventure, Family",60.0,6.4,major,6.349,6.0,0.3490000000000002
35000000,194564672,7.229,7392,tt2361509,The Intern,2015,"Comedy, Drama",51.0,7.1,major,7.1645,5.1,2.0645000000000007
176000000,184000000,5.472,7168,tt1617661,Jupiter Ascending,2015,"Animation, Action, Adventure",40.0,5.3,major,5.386,4.0,1.3860000000000001
185000000,343471816,6.793,7167,tt2660888,Star Trek Beyond,2016,"Action, Adventure, Sci-Fi",68.0,7.0,major,6.8965,6.8,0.09649999999999981
30000000,44516999,6.956,7164,tt5109784,Mother!,2017,"Drama, Horror, Mystery",76.0,6.6,major,6.7780000000000005,7.6,-0.8219999999999992
658800000,1004004592,6.602,7161,tt8041270,Jurassic World: Dominion,2022,"Action, Adventure, Sci-Fi",38.0,5.6,major,6.101,3.8,2.301
200000000,393452111,6.787,7124,tt6443346,Black Adam,2022,"Action, Adventure, Fantasy",41.0,6.1,major,6.4435,4.1,2.3435000000000006
200000000,69965374,6.823,7096,tt4566758,Mulan,2020,"Action, Adventure, Drama",66.0,5.8,major,6.3115000000000006,6.6,-0.2884999999999991
75000000,110045109,7.079,6929,tt1638355,The Man from U.N.C.L.E.,2015,"Action, Adventure, Comedy",56.0,7.2,major,7.1395,5.6,1.5395000000000003
170000000,299457024,6.6,6828,tt2567026,Alice Through the Looking Glass,2016,"Adventure, Family, Fantasy",34.0,6.2,major,6.4,3.4,3.0000000000000004
217000000,605425157,6.06,6802,tt3371366,Transformers: The Last Knight,2017,"Action, Adventure, Comedy",27.0,5.2,major,5.63,2.7,2.9299999999999997
135000000,467989645,6.72,6702,tt4701182,Bumblebee,2018,"Action, Adventure, Sci-Fi",66.0,6.7,major,6.71,6.6,0.11000000000000032
200000000,141888276,7.6,6634,tt7146812,Onward,2020,"Animation, Adventure, Comedy",61.0,7.4,major,7.5,6.1,1.4000000000000004
4800000,125479266,6.66,6623,tt5308322,Happy Death Day,2017,"Comedy, Horror, Mystery",58.0,6.6,major,6.63,5.8,0.8300000000000001
190000000,156497322,6.327,6575,tt10838180,The Matrix Resurrections,2021,"Action, Sci-Fi",63.0,5.6,major,5.9635,6.3,-0.3365
180000000,356743061,5.923,6566,tt0918940,The Legend of Tarzan,2016,"Action, Adventure, Drama",44.0,6.2,major,6.0615000000000006,4.4,1.6615000000000002
185000000,491730089,7.296,6546,tt4777008,Maleficent: Mistress of Evil,2019,"Adventure, Drama, Family",43.0,6.6,major,6.948,4.3,2.6480000000000006
340000000,704709660,6.988,6404,tt5433140,Fast X,2023,"Action, Adventure, Crime",56.0,5.7,major,6.344,5.6,0.7440000000000007
200000000,220889446,7.282,6230,tt0870154,Jungle Cruise,2021,"Action, Adventure, Comedy",50.0,6.5,major,6.891,5.0,1.891
175000000,149175066,6.558,6111,tt1972591,King Arthur: Legend of the Sword,2017,"Action, Adventure, Drama",41.0,6.7,major,6.629,4.1,2.529
16000000,161441914,7.515,5938,tt7144666,The Black Phone,2022,"Horror, Mystery, Thriller",65.0,6.9,major,7.2075,6.5,0.7074999999999996
110000000,405421518,7.428,5932,tt12412888,Sonic the Hedgehog 2,2022,"Action, Adventure, Comedy",47.0,6.5,major,6.964,4.7,2.2640000000000002
185000000,261119292,6.421,5754,tt6450804,Terminator: Dark Fate,2019,"Action, Adventure, Sci-Fi",54.0,6.2,major,6.3105,5.4,0.9104999999999999
70000000,105713218,7.042,5720,tt1213641,First Man,2018,"Biography, Drama, History",84.0,7.3,major,7.170999999999999,8.4,-1.229000000000001
150000000,331957105,6.033,5599,tt2034800,The Great Wall,2016,"Action, Adventure, Fantasy",42.0,5.9,major,5.9665,4.2,1.7664999999999997
50000000,86234523,6.946,5565,tt2005151,War Dogs,2016,"Biography, Comedy, Crime",57.0,7.1,major,7.023,5.7,1.3229999999999995
29000000,287144079,6.8,5546,tt2848292,Pitch Perfect 2,2015,"Comedy, Music",63.0,6.4,major,6.6,6.3,0.2999999999999998
10000000,118587880,6.38,5537,tt4094724,The Purge: Election Year,2016,"Action, Horror, Sci-Fi",55.0,6.0,major,6.1899999999999995,5.5,0.6899999999999995
140000000,173469516,6.262,5507,tt1025100,Gemini Man,2019,"Action, Sci-Fi, Thriller",38.0,5.7,major,5.981,3.8,2.181
80000000,311950384,7.253,5488,tt4116284,The Lego Batman Movie,2017,"Animation, Action, Adventure",75.0,7.3,major,7.2765,7.5,-0.2234999999999996
50000000,174800000,6.87,5410,tt7959026,The Mule,2018,"Crime, Drama, Thriller",58.0,7.0,major,6.9350000000000005,5.8,1.1350000000000007
60000000,162100000,6.027,5400,tt3393786,Jack Reacher: Never Go Back,2016,"Action, Thriller",47.0,6.2,major,6.1135,4.7,1.4135
125000000,304870828,6.311,5392,tt5758778,Skyscraper,2018,"Action, Adventure, Thriller",51.0,5.8,major,6.0555,5.1,0.9555000000000007
195000000,441381193,7.169,5339,tt5090568,Transformers: Rise of the Beasts,2023,"Action, Adventure, Sci-Fi",42.0,6.0,major,6.5845,4.2,2.3845
55000000,203427584,6.825,5286,tt2719848,Everest,2015,"Adventure, Biography, Drama",64.0,7.1,major,6.9625,6.4,0.5625
120000000,221600160,6.126,5248,tt1981128,Geostorm,2017,"Action, Sci-Fi, Thriller",21.0,5.4,major,5.763,2.1,3.663
100000000,83869818,6.243,5239,tt1571234,Mortal Engines,2018,"Action, Adventure, Fantasy",44.0,6.1,major,6.1715,4.4,1.7714999999999996
220000000,571125435,7.503,5223,tt9603212,Mission: Impossible - Dead Reckoning Part One,2023,"Action, Adventure, Thriller",81.0,7.6,major,7.5515,8.1,-0.5484999999999998
200000000,407200000,6.627,5158,tt4123432,Fantastic Beasts: The Secrets of Dumbledore,2022,"Adventure, Fantasy",47.0,6.2,major,6.4135,4.7,1.7134999999999998
10000000,259939869,6.565,5104,tt1502407,Halloween,2018,"Crime, Drama, Horror",67.0,6.5,major,6.532500000000001,6.7,-0.16749999999999954
220000000,271333313,6.621,5094,tt0439572,The Flash,2023,"Action, Adventure, Fantasy",55.0,6.6,major,6.6105,5.5,1.1105
115000000,164989338,6.295,5077,tt2381991,The Huntsman: Winter's War,2016,"Action, Adventure, Drama",35.0,6.1,major,6.1975,3.5,2.6975
50000000,133511855,6.901,5046,tt3532216,American Made,2017,"Action, Comedy, Crime",65.0,7.1,major,7.0005,6.5,0.5004999999999997
40000000,167300000,7.313,5033,tt2066051,Rocketman,2019,"Biography, Drama, Music",69.0,7.3,major,7.3065,6.9,0.4064999999999994
68000000,171932082,6.828,5016,tt10954984,Nope,2022,"Horror, Mystery, Sci-Fi",77.0,6.8,major,6.814,7.7,-0.8860000000000001
168000000,174287546,7.4,5014,tt12037194,Furiosa: A Mad Max Saga,2024,"Action, Adventure, Sci-Fi",79.0,7.5,major,7.45,7.9,-0.4500000000000002
45000000,72385286,7.147,4957,tt5606664,Doctor Sleep,2019,"Drama, Fantasy, Horror",59.0,7.3,major,7.2235,5.9,1.3234999999999992
18000000,90146510,6.322,4950,tt10954652,Old,2021,"Drama, Mystery, Thriller",55.0,5.8,major,6.061,5.5,0.5609999999999999
106000000,119520023,6.806,4836,tt3640424,Allied,2016,"Action, Drama, Romance",60.0,7.1,major,6.952999999999999,6.0,0.9529999999999994
151000000,208200000,7.357,4769,tt2906216,Dungeons & Dragons: Honor Among Thieves,2023,"Action, Adventure, Comedy",72.0,7.2,major,7.2785,7.2,0.07850000000000001
35000000,108007109,5.816,4657,tt4438848,Neighbors 2: Sorority Rising,2016,Comedy,58.0,5.7,major,5.758,5.8,-0.041999999999999815
310000000,462180717,6.604,4587,tt9218128,Gladiator II,2024,"Action, Adventure, Drama",64.0,6.4,major,6.502000000000001,6.4,0.10200000000000031
170000000,353284621,6.587,4550,tt3861390,Dumbo,2019,"Animation, Adventure, Family",51.0,6.2,major,6.3934999999999995,5.1,1.2934999999999999
30000000,1122066,7.268,4507,tt2222042,Love and Monsters,2020,"Action, Adventure, Comedy",63.0,6.9,major,7.084,6.3,0.7839999999999998
75000000,552976825,6.865,4471,tt2709692,The Grinch,2018,"Animation, Comedy, Family",51.0,6.4,major,6.6325,5.1,1.5325000000000006
125000000,634502312,7.039,4456,tt6166392,Wonka,2023,"Adventure, Comedy, Family",66.0,6.9,major,6.9695,6.6,0.3695000000000004
100000000,93900000,6.774,4420,tt1390411,In the Heart of the Sea,2015,"Action, Adventure, Biography",47.0,6.9,major,6.837,4.7,2.1369999999999996
30000000,34400000,6.774,4403,tt2080374,Steve Jobs,2015,"Biography, Drama",82.0,7.2,major,6.987,8.2,-1.2129999999999992
13000000,137056262,6.0,4259,tt6133466,The First Purge,2018,"Action, Horror, Sci-Fi",54.0,5.2,major,5.6,5.4,0.1999999999999993
150000000,163692228,6.638,4251,tt3554046,Space Jam: A New Legacy,2021,"Animation, Adventure, Comedy",36.0,4.5,major,5.569,3.6,1.9689999999999999
28000000,201634991,7.773,4231,tt1398426,Straight Outta Compton,2015,"Biography, Drama, History",72.0,7.8,major,7.7865,7.2,0.5865
17000000,217408513,6.675,4145,tt15474916,Smile,2022,"Horror, Mystery, Thriller",68.0,6.5,major,6.5875,6.8,-0.21249999999999947
68000000,55003890,5.411,4140,tt1389072,Downsizing,2017,"Drama, Fantasy, Sci-Fi",64.0,5.8,major,5.605499999999999,6.4,-0.7945000000000011
85000000,940203765,7.3,4061,tt5113044,Minions: The Rise of Gru,2022,"Animation, Adventure, Comedy",56.0,6.5,major,6.9,5.6,1.3000000000000007
129000000,398500317,6.376,4034,tt9224104,Meg 2: The Trench,2023,"Action, Adventure, Horror",40.0,5.0,major,5.688000000000001,4.0,1.6880000000000006
22000000,63647656,5.945,4035,tt0475290,"Hail, Caesar!",2016,"Comedy, Drama, Mystery",72.0,6.3,major,6.1225000000000005,7.2,-1.0774999999999997
50000000,69411370,7.277,3996,tt4172430,13 Hours,2016,"Action, Drama, History",48.0,7.3,major,7.2885,4.8,2.4885
30000000,238539198,7.053,3988,tt3104988,Crazy Rich Asians,2018,"Comedy, Drama, Romance",74.0,6.9,major,6.9765,7.4,-0.42350000000000065
24000000,138874789,6.685,3944,tt11245972,Scream,2022,"Horror, Mystery, Thriller",60.0,6.3,major,6.4925,6.0,0.4924999999999997
85000000,288670284,7.455,3941,tt3704428,Elvis,2022,"Biography, Drama, Music",64.0,7.3,major,7.3774999999999995,6.4,0.9774999999999991
175000000,251410631,6.576,3918,tt6673612,Dolittle,2020,"Adventure, Comedy, Family",26.0,5.6,major,6.087999999999999,2.6,3.487999999999999
125000000,181073291,6.958,3890,tt1684562,The Fall Guy,2024,"Action, Comedy, Drama",73.0,6.8,major,6.879,7.3,-0.42100000000000026
135000000,245623848,6.061,3839,tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"Action, Adventure, Comedy",40.0,5.9,major,5.9805,4.0,1.9805000000000001
78000000,65267446,7.341,3834,tt10640346,Babylon,2022,"Comedy, Drama",61.0,7.1,major,7.2204999999999995,6.1,1.1204999999999998
10000000,61621140,7.2,3759,tt5001718,"Everything, Everything",2017,"Drama, Romance",52.0,6.3,major,6.75,5.2,1.5499999999999998
14000000,12400979,6.65,3727,tt8244784,The Hunt,2020,"Action, Horror, Thriller",50.0,6.6,major,6.625,5.0,1.625
9000000,64600152,6.321,3691,tt8155288,Happy Death Day 2U,2019,"Comedy, Horror, Mystery",57.0,6.2,major,6.2605,5.7,0.5605000000000002
140000000,195243411,6.289,3664,tt3691740,The BFG,2016,"Adventure, Family, Fantasy",66.0,6.3,major,6.294499999999999,6.6,-0.3055000000000003
45000000,0,5.639,3616,tt2548396,The Cloverfield Paradox,2018,"Horror, Sci-Fi, Thriller",37.0,5.5,major,5.5695,3.7,1.8694999999999995
205000000,440181226,6.518,3573,tt9663764,Aquaman and the Lost Kingdom,2023,"Action, Adventure, Fantasy",42.0,5.6,major,6.058999999999999,4.2,1.858999999999999
2800000,27365467,7.803,3564,tt4799066,Midnight Sun,2018,"Drama, Romance",38.0,6.6,major,7.201499999999999,3.8,3.4014999999999995
130000000,348807090,6.509,3491,tt5028340,Mary Poppins Returns,2018,"Adventure, Comedy, Family",66.0,6.7,major,6.6045,6.6,0.0045000000000001705
50000000,242786137,6.294,3468,tt1528854,Daddy's Home,2015,"Comedy, Family",42.0,6.2,major,6.247,4.2,2.0469999999999997
21000000,113118226,5.744,3459,tt0837563,Pet Sematary,2019,"Horror, Mystery, Thriller",57.0,5.7,major,5.7219999999999995,5.7,0.021999999999999353
67000000,261907653,6.644,3445,tt13433802,A Quiet Place: Day One,2024,"Drama, Horror, Sci-Fi",68.0,6.2,major,6.422000000000001,6.8,-0.3779999999999992
13500000,91542097,6.3,3419,tt8364368,Crawl,2019,"Action, Horror, Thriller",60.0,6.1,major,6.199999999999999,6.0,0.1999999999999993
50300000,0,7.414,3370,tt6048922,Greyhound,2020,"Drama, History, War",64.0,7.0,major,7.207,6.4,0.8069999999999995
80000000,429434163,6.954,3369,tt5113040,The Secret Life of Pets 2,2019,"Animation, Adventure, Comedy",55.0,6.4,major,6.677,5.5,1.1769999999999996
122000000,492162604,7.608,3365,tt18259086,Sonic the Hedgehog 3,2024,"Action, Adventure, Comedy",56.0,6.9,major,7.254,5.6,1.654
297000000,569626289,6.268,3358,tt5971474,The Little Mermaid,2023,"Adventure, Family, Fantasy",59.0,7.2,major,6.734,5.9,0.8339999999999996
100000000,972021410,7.0,3285,tt7510222,Despicable Me 4,2024,"Animation, Adventure, Comedy",52.0,6.2,major,6.6,5.2,1.3999999999999995
48000000,121000000,7.494,3266,tt7401588,Instant Family,2018,"Comedy, Drama",57.0,7.3,major,7.397,5.7,1.697
33000000,169063850,6.941,3265,tt17663992,Scream VI,2023,"Horror, Mystery, Thriller",61.0,6.4,major,6.6705000000000005,6.1,0.5705000000000009
99000000,452000435,6.931,3202,tt2049403,Beetlejuice Beetlejuice,2024,"Comedy, Fantasy, Horror",62.0,6.6,major,6.765499999999999,6.2,0.5654999999999992
10000000,172811971,6.264,3187,tt5726086,Insidious: The Last Key,2018,"Horror, Mystery, Thriller",49.0,5.7,major,5.982,4.9,1.0819999999999999
38000000,41657844,6.736,3173,tt4530422,Overlord,2018,"Action, Horror, Sci-Fi",60.0,6.6,major,6.667999999999999,6.0,0.6679999999999993
104000000,130788072,6.6,3172,tt9362930,Blue Beetle,2023,"Action, Adventure, Sci-Fi",61.0,5.9,major,6.25,6.1,0.15000000000000036
20000000,54700000,6.249,3141,tt15679400,Knock at the Cabin,2023,"Horror, Mystery, Thriller",63.0,6.1,major,6.1745,6.3,-0.12549999999999972
150000000,758827029,6.911,3134,tt1262426,Wicked,2024,"Fantasy, Musical, Romance",73.0,7.4,major,7.1555,7.3,-0.14449999999999985
155000000,372262265,6.773,3066,tt12584954,Twisters,2024,"Action, Adventure, Thriller",65.0,6.5,major,6.6365,6.5,0.13649999999999984
75000000,18500000,7.028,3056,tt9848626,Hotel Transylvania 4: Transformania,2022,"Animation, Adventure, Comedy",46.0,6.0,major,6.513999999999999,4.6,1.9139999999999997
60000000,4810790,7.389,3011,tt4823776,The SpongeBob Movie: Sponge on the Run,2020,"Animation, Adventure, Comedy",65.0,5.9,major,6.644500000000001,6.5,0.14450000000000074
0,29303571,6.332,3008,tt0805647,The Witches,2020,"Adventure, Family, Fantasy",47.0,5.4,major,5.866,4.7,1.1659999999999995
50000000,71561644,6.434,3003,tt2199571,Run All Night,2015,"Action, Crime, Thriller",59.0,6.6,major,6.5169999999999995,5.9,0.6169999999999991
190000000,207500287,5.406,2983,tt11315808,Joker: Folie à Deux,2024,"Drama, Musical, Thriller",45.0,5.2,major,5.303,4.5,0.8029999999999999
75000000,197744825,7.296,2938,tt4575576,Christopher Robin,2018,"Adventure, Comedy, Drama",60.0,7.2,major,7.248,6.0,1.2480000000000002
12000000,33200000,6.793,2893,tt2436386,Project Almanac,2015,"Drama, Mystery, Sci-Fi",47.0,6.4,major,6.596500000000001,4.7,1.8965000000000005
50000000,39400000,7.601,2889,tt9620288,King Richard,2021,"Biography, Drama, Sport",76.0,7.5,major,7.5504999999999995,7.6,-0.0495000000000001
150000000,128388320,5.958,2869,tt3332064,Pan,2015,"Action, Adventure, Comedy",36.0,5.7,major,5.829000000000001,3.6,2.2290000000000005
30000000,29942746,6.357,2865,tt10016180,The Little Things,2021,"Crime, Drama, Mystery",54.0,6.3,major,6.3285,5.4,0.9284999999999997
24000000,64400000,6.894,2832,tt2671706,Fences,2016,Drama,79.0,7.2,major,7.047000000000001,7.9,-0.8529999999999998
0,0,6.9,2762,tt0499097,Without Remorse,2021,"Action, Drama, Thriller",41.0,5.8,major,6.35,4.1,2.25
69000000,180613180,6.306,2759,tt5657846,Daddy's Home 2,2017,Comedy,30.0,6.1,major,6.202999999999999,3.0,3.2029999999999994
45000000,33900000,7.416,2756,tt3513548,Richard Jewell,2019,"Biography, Crime, Drama",68.0,7.5,major,7.458,6.8,0.6580000000000004
35000000,140795793,5.785,2737,tt3152624,Trainwreck,2015,"Comedy, Drama, Romance",75.0,6.2,major,5.9925,7.5,-1.5075000000000003
200000000,722631756,7.303,2721,tt13186482,Mufasa: The Lion King,2024,"Animation, Adventure, Drama",56.0,6.6,major,6.951499999999999,5.6,1.3514999999999997
18000000,76994245,6.9,2706,tt10327252,The Forever Purge,2021,"Action, Crime, Drama",53.0,5.4,major,6.15,5.3,0.8500000000000005
30000000,121600000,7.196,2656,tt8623904,Last Christmas,2019,"Comedy, Drama, Fantasy",50.0,6.5,major,6.848,5.0,1.8479999999999999
9000000,81831866,6.161,2653,tt4361050,Ouija: Origin of Evil,2016,"Drama, Horror, Mystery",65.0,6.2,major,6.1805,6.5,-0.3194999999999997
25000000,83080890,5.024,2634,tt0498381,Rings,2017,"Drama, Horror, Mystery",25.0,4.5,major,4.7620000000000005,2.5,2.2620000000000005
175000000,0,6.478,2623,tt2388771,Mowgli: Legend of the Jungle,2018,"Adventure, Drama, Fantasy",51.0,6.5,major,6.489,5.1,1.3890000000000002
50000000,136536687,6.729,2592,tt1361336,Tom & Jerry,2021,"Animation, Adventure, Comedy",32.0,5.3,major,6.0145,3.2,2.8145
