title,imdb_id,release_date,budget,revenue,vote_average,vote_count,studio_type
Fast X,tt5433140,2023-05-17,340000000,704709660,6.988,6404,major
Jungle Cruise,tt0870154,2021-07-28,200000000,220889446,7.282,6230,major
King Arthur: Legend of the Sword,tt1972591,2017-05-10,175000000,149175066,6.558,6111,major
The Black Phone,tt7144666,2022-06-16,16000000,161441914,7.515,5938,major
Sonic the Hedgehog 2,tt12412888,2022-03-30,110000000,405421518,7.428,5932,major
Terminator: Dark Fate,tt6450804,2019-10-23,185000000,261119292,6.421,5754,major
First Man,tt1213641,2018-10-10,70000000,105713218,7.042,5720,major
The Great Wall,tt2034800,2016-12-16,150000000,331957105,6.033,5599,major
War Dogs,tt2005151,2016-08-18,50000000,86234523,6.946,5565,major
Pitch Perfect 2,tt2848292,2015-05-07,29000000,287144079,6.8,5546,major
The Purge: Election Year,tt4094724,2016-06-29,10000000,118587880,6.38,5537,major
Gemini Man,tt1025100,2019-10-02,140000000,173469516,6.262,5507,major
The Lego Batman Movie,tt4116284,2017-02-08,80000000,311950384,7.253,5488,major
The Mule,tt7959026,2018-12-14,50000000,174800000,6.87,5410,major
Jack Reacher: Never Go Back,tt3393786,2016-10-19,60000000,162100000,6.027,5400,major
Skyscraper,tt5758778,2018-07-11,125000000,304870828,6.311,5392,major
Transformers: Rise of the Beasts,tt5090568,2023-06-06,195000000,441381193,7.169,5339,major
Everest,tt2719848,2015-09-10,55000000,203427584,6.825,5286,major
Geostorm,tt1981128,2017-10-12,120000000,221600160,6.126,5248,major
Mortal Engines,tt1571234,2018-11-27,100000000,83869818,6.243,5239,major
Mission: Impossible - Dead Reckoning Part One,tt9603212,2023-07-08,220000000,571125435,7.503,5223,major
Fantastic Beasts: The Secrets of Dumbledore,tt4123432,2022-04-06,200000000,407200000,6.627,5158,major
Halloween,tt1502407,2018-10-18,10000000,259939869,6.565,5104,major
The Flash,tt0439572,2023-06-13,220000000,271333313,6.621,5094,major
The Huntsman: Winter's War,tt2381991,2016-04-06,115000000,164989338,6.295,5077,major
American Made,tt3532216,2017-08-18,50000000,133511855,6.901,5046,major
Rocketman,tt2066051,2019-05-17,40000000,167300000,7.313,5033,major
Nope,tt10954984,2022-07-20,68000000,171932082,6.828,5016,major
Furiosa: A Mad Max Saga,tt12037194,2024-05-22,168000000,174287546,7.4,5014,major
Doctor Sleep,tt5606664,2019-10-30,45000000,72385286,7.147,4957,major
Old,tt10954652,2021-07-21,18000000,90146510,6.322,4950,major
Allied,tt3640424,2016-11-23,106000000,119520023,6.806,4836,major
Dungeons & Dragons: Honor Among Thieves,tt2906216,2023-03-23,151000000,208200000,7.357,4769,major
Neighbors 2: Sorority Rising,tt4438848,2016-05-04,35000000,108007109,5.816,4657,major
Gladiator II,tt9218128,2024-11-13,310000000,462180717,6.604,4587,major
Dumbo,tt3861390,2019-03-27,170000000,353284621,6.587,4550,major
Love and Monsters,tt2222042,2020-10-16,30000000,1122066,7.268,4507,major
The Grinch,tt2709692,2018-11-08,75000000,552976825,6.865,4471,major
Wonka,tt6166392,2023-12-06,125000000,634502312,7.039,4456,major
In the Heart of the Sea,tt1390411,2015-12-03,100000000,93900000,6.774,4420,major
Steve Jobs,tt2080374,2015-10-09,30000000,34400000,6.774,4403,major
The First Purge,tt6133466,2018-07-04,13000000,137056262,6.0,4259,major
Space Jam: A New Legacy,tt3554046,2021-07-08,150000000,163692228,6.638,4251,major
Straight Outta Compton,tt1398426,2015-08-11,28000000,201634991,7.773,4231,major
Smile,tt15474916,2022-09-23,17000000,217408513,6.675,4145,major
Downsizing,tt1389072,2017-12-22,68000000,55003890,5.411,4140,major
Minions: The Rise of Gru,tt5113044,2022-06-29,85000000,940203765,7.3,4061,major
Meg 2: The Trench,tt9224104,2023-08-02,129000000,398500317,6.376,4034,major
"Hail, Caesar!",tt0475290,2016-02-05,22000000,63647656,5.945,4035,major
13 Hours: The Secret Soldiers of Benghazi,tt4172430,2016-01-14,50000000,69411370,7.277,3996,major
Crazy Rich Asians,tt3104988,2018-08-15,30000000,238539198,7.053,3988,major
Scream,tt11245972,2022-01-12,24000000,138874789,6.685,3944,major
Elvis,tt3704428,2022-06-22,85000000,288670284,7.455,3941,major
Dolittle,tt6673612,2020-01-02,175000000,251410631,6.576,3918,major
The Fall Guy,tt1684562,2024-04-24,125000000,181073291,6.958,3890,major
Teenage Mutant Ninja Turtles: Out of the Shadows,tt3949660,2016-05-30,135000000,245623848,6.061,3839,major
Babylon,tt10640346,2022-12-22,78000000,65267446,7.341,3834,major
"Everything, Everything",tt5001718,2017-05-18,10000000,61621140,7.2,3759,major
The Hunt,tt8244784,2020-03-11,14000000,12400979,6.65,3727,major
Happy Death Day 2U,tt8155288,2019-02-13,9000000,64600152,6.321,3691,major
The BFG,tt3691740,2016-06-01,140000000,195243411,6.289,3664,major
The Cloverfield Paradox,tt2548396,2018-02-04,45000000,0,5.639,3616,major
Aquaman and the Lost Kingdom,tt9663764,2023-12-20,205000000,440181226,6.518,3573,major
Midnight Sun,tt4799066,2018-03-22,2800000,27365467,7.803,3564,major
Mary Poppins Returns,tt5028340,2018-12-13,130000000,348807090,6.509,3491,major
Daddy's Home,tt1528854,2015-12-25,50000000,242786137,6.294,3468,major
Pet Sematary,tt0837563,2019-04-04,21000000,113118226,5.744,3459,major
A Quiet Place: Day One,tt13433802,2024-06-26,67000000,261907653,6.644,3445,major
Crawl,tt8364368,2019-07-10,13500000,91542097,6.3,3419,major
Greyhound,tt6048922,2020-07-09,50300000,0,7.414,3370,major
The Secret Life of Pets 2,tt5113040,2019-05-24,80000000,429434163,6.954,3369,major
Sonic the Hedgehog 3,tt18259086,2024-12-19,122000000,492162604,7.608,3365,major
The Little Mermaid,tt5971474,2023-05-18,297000000,569626289,6.268,3358,major
Despicable Me 4,tt7510222,2024-06-20,100000000,972021410,7.0,3285,major
Instant Family,tt7401588,2018-11-13,48000000,121000000,7.494,3266,major
Scream VI,tt17663992,2023-03-08,33000000,169063850,6.941,3265,major
Beetlejuice Beetlejuice,tt2049403,2024-09-04,99000000,452000435,6.931,3202,major
Insidious: The Last Key,tt5726086,2018-01-03,10000000,172811971,6.264,3187,major
Overlord,tt4530422,2018-11-01,38000000,41657844,6.736,3173,major
Blue Beetle,tt9362930,2023-08-16,104000000,130788072,6.6,3172,major
Knock at the Cabin,tt15679400,2023-02-01,20000000,54700000,6.249,3141,major
Wicked,tt1262426,2024-10-16,150000000,758827029,6.911,3134,major
Twisters,tt12584954,2024-07-10,155000000,372262265,6.773,3066,major
Hotel Transylvania: Transformania,tt9848626,2022-01-31,75000000,18500000,7.028,3056,major
The SpongeBob Movie: Sponge on the Run,tt4823776,2020-08-14,60000000,4810790,7.389,3011,major
Roald Dahl's The Witches,tt0805647,2020-10-26,0,29303571,6.332,3008,major
Run All Night,tt2199571,2015-03-11,50000000,71561644,6.434,3003,major
Joker: Folie à Deux,tt11315808,2024-10-01,190000000,207500287,5.406,2983,major
Christopher Robin,tt4575576,2018-08-01,75000000,197744825,7.296,2938,major
Project Almanac,tt2436386,2015-01-28,12000000,33200000,6.793,2893,major
King Richard,tt9620288,2021-11-18,50000000,39400000,7.601,2889,major
Pan,tt3332064,2015-09-24,150000000,128388320,5.958,2869,major
The Little Things,tt10016180,2021-01-28,30000000,29942746,6.357,2865,major
Fences,tt2671706,2016-12-16,24000000,64400000,6.894,2832,major
Tom Clancy's Without Remorse,tt0499097,2021-04-30,0,0,6.9,2762,major
Daddy's Home 2,tt5657846,2017-11-09,69000000,180613180,6.306,2759,major
Richard Jewell,tt3513548,2019-12-13,45000000,33900000,7.416,2756,major
Trainwreck,tt3152624,2015-07-17,35000000,140795793,5.785,2737,major
Mufasa: The Lion King,tt13186482,2024-12-18,200000000,722631756,7.303,2721,major
The Forever Purge,tt10327252,2021-06-30,18000000,76994245,6.9,2706,major
Last Christmas,tt8623904,2019-11-07,30000000,121600000,7.196,2656,major
Ouija: Origin of Evil,tt4361050,2016-10-20,9000000,81831866,6.161,2653,major
Rings,tt0498381,2017-02-01,25000000,83080890,5.024,2634,major
Mowgli: Legend of the Jungle,tt2388771,2018-11-25,175000000,0,6.478,2623,major
Tom & Jerry,tt1361336,2021-02-10,50000000,136536687,6.729,2592,major
Violent Night,tt12003946,2022-11-30,20000000,75734910,7.217,2588,major
The SpongeBob Movie: Sponge Out of Water,tt2279373,2015-01-28,74000000,325186032,6.11,2566,major
Storks,tt4624424,2016-09-22,70000000,182379278,6.68,2542,major
Juror #2,tt27403986,2024-10-30,30000000,21418477,6.891,2532,major
Just Mercy,tt4916630,2019-12-25,25000000,50401502,7.85,2517,major
Ambulance,tt4998632,2022-03-16,40000000,52303589,6.62,2488,major
Cocaine Bear,tt14209916,2023-02-22,32500000,88314672,5.989,2479,major
Krampus,tt3850590,2015-11-26,15000000,61800000,6.2,2419,major
Coming 2 America,tt6802400,2021-03-04,60000000,0,6.331,2414,major
Zoolander 2,tt1608290,2016-02-06,50000000,56722693,4.928,2406,major
The Snowman,tt1758810,2017-08-24,35000000,43203413,5.217,2396,major
Countdown,tt10039344,2019-10-24,6500000,48021766,6.205,2334,major
Togo,tt5116302,2019-12-20,0,0,8.137,2327,major
Migration,tt6495056,2023-12-06,72000000,298776052,7.358,2280,major
Peppermint,tt6850820,2018-09-06,25000000,53918723,6.737,2262,major
The Nutcracker and the Four Realms,tt5523010,2018-10-26,120000000,173961069,6.082,2257,major
Smile 2,tt29268110,2024-10-16,28000000,138128854,6.587,2244,major
A Bad Moms Christmas,tt6359956,2017-08-04,28000000,130560428,6.321,2219,major
Renfield,tt11358390,2023-04-07,65000000,26493921,6.444,2178,major
Infinite,tt6654210,2021-09-09,0,0,6.557,2177,major
Scouts Guide to the Zombie Apocalypse,tt1727776,2015-10-23,15000000,14900000,6.584,2154,major
I Feel Pretty,tt6791096,2018-04-19,32000000,94539426,6.381,2136,major
Abigail,tt27489557,2024-04-16,28000000,43015969,6.658,2135,major
Midnight Special,tt2649554,2016-02-18,18000000,7112282,6.255,2069,major
Halloween Ends,tt10665342,2022-10-12,33000000,105400796,6.022,2053,major
Deadpool,tt1431045,2016-02-09,58000000,782837347,7.624,32966,indie
Avengers: Infinity War,tt4154756,2018-04-25,300000000,2052415039,8.2,32384,indie
Avengers: Endgame,tt4154796,2019-04-24,356000000,2799439100,8.239,28126,indie
Avengers: Age of Ultron,tt2395427,2015-04-22,235000000,1405403694,7.275,24663,indie
Captain America: Civil War,tt3498820,2016-04-27,250000000,1155046416,7.45,24210,indie
Black Panther,tt1825683,2018-02-13,200000000,1349926083,7.364,23662,indie
Inside Out,tt2096673,2015-06-17,175000000,857611174,7.908,23652,indie
Doctor Strange,tt1211837,2016-10-25,180000000,676343174,7.424,23602,indie
Spider-Man: Homecoming,tt2250912,2017-07-05,175000000,880978185,7.331,23392,indie
Guardians of the Galaxy Vol. 2,tt3896198,2017-04-25,200000000,863756051,7.61,23113,indie
Spider-Man: No Way Home,tt10872600,2021-12-15,200000000,1921206586,7.9,22331,indie
Thor: Ragnarok,tt3501632,2017-10-02,180000000,855301806,7.583,22190,indie
The Martian,tt3659388,2015-09-30,108000000,631058917,7.706,21507,indie
Coco,tt2380307,2017-10-27,175000000,814641172,8.198,21169,indie
Ant-Man,tt0478970,2015-07-14,130000000,519311965,7.067,21006,indie
Parasite,tt6751668,2019-05-30,11363000,257591776,8.5,20948,indie
Star Wars: The Force Awakens,tt2488496,2015-12-15,245000000,2068223624,7.248,20687,indie
Logan,tt3315342,2017-02-28,97000000,619021436,7.822,20573,indie
It,tt1396484,2017-09-06,35000000,719766009,7.24,20475,indie
Arrival,tt2543164,2016-11-10,47000000,203388186,7.631,19583,indie
The Revenant,tt1663202,2015-12-25,135000000,532950503,7.541,19484,indie
Deadpool 2,tt5463162,2018-05-15,110000000,785896632,7.491,19404,indie
Get Out,tt5052448,2017-02-24,4500000,255407969,7.624,19084,indie
Split,tt4972582,2017-01-19,9000000,278454358,7.342,18456,indie
Zootopia,tt2948356,2016-02-11,150000000,1025521689,7.8,18307,indie
La La Land,tt3783958,2016-12-01,30000000,509183536,7.898,18262,indie
Kingsman: The Secret Service,tt2802144,2015-01-24,81000000,414351546,7.62,17943,indie
Bohemian Rhapsody,tt1727824,2018-10-24,52000000,910813521,7.955,17884,indie
Spider-Man: Into the Spider-Verse,tt4633694,2018-12-06,90000000,394884133,8.393,17484,indie
Venom,tt1270797,2018-09-28,116000000,856085151,6.825,17376,indie
Spider-Man: Far From Home,tt6320628,2019-06-28,160000000,1132723226,7.396,17181,indie
Baby Driver,tt3890160,2017-06-28,34000000,226945087,7.443,16978,indie
Captain Marvel,tt4154664,2019-03-06,152000000,1131416446,6.778,16895,indie
Rogue One: A Star Wars Story,tt3748528,2016-12-14,200000000,1056057273,7.509,16550,indie
Star Wars: The Last Jedi,tt2527336,2017-12-13,300000000,1334407706,6.747,16471,indie
The Hateful Eight,tt3460252,2015-12-25,44000000,155760117,7.756,15421,indie
Blade Runner 2049,tt1856101,2017-10-04,150000000,259239658,7.598,15362,indie
Dune,tt1160419,2021-09-15,165000000,410668500,7.783,15182,indie
Hacksaw Ridge,tt2119532,2016-10-07,40000000,175302354,8.193,15035,indie
Once Upon a Time... in Hollywood,tt7131622,2019-07-24,95000000,393869691,7.422,15016,indie
Jumanji: Welcome to the Jungle,tt2283362,2017-12-09,90000000,995339117,6.821,14624,indie
John Wick: Chapter 2,tt4425200,2017-02-08,40000000,171539887,7.342,14415,indie
Ex Machina,tt0470752,2015-01-21,15000000,36869414,7.571,14404,indie
Avatar: The Way of Water,tt1630029,2022-12-14,460000000,2334484620,7.593,14400,indie
Passengers,tt1355644,2016-12-21,110000000,303144152,6.957,14347,indie
Ant-Man and the Wasp,tt5095030,2018-07-04,140000000,622674139,6.902,14298,indie
Knives Out,tt8946378,2019-11-27,40000000,312897920,7.84,14216,indie
X-Men: Apocalypse,tt3385516,2016-05-18,178000000,543934787,6.527,13894,indie
Moana,tt3521164,2016-10-13,150000000,690860472,7.565,13868,indie
Incredibles 2,tt3606756,2018-06-14,200000000,1243225667,7.454,13793,indie
1917,tt8579674,2019-12-25,100000000,446064352,7.985,13692,indie
The Hunger Games: Mockingjay - Part 2,tt1951266,2015-11-18,160000000,653428261,6.902,13449,indie
Me Before You,tt2674426,2016-06-01,20000000,207945075,7.929,13410,indie
Green Book,tt6966692,2018-11-16,23000000,321752656,8.225,13031,indie
The Shape of Water,tt5580390,2017-12-01,19500000,195300000,7.236,12948,indie
Call Me by Your Name,tt5726616,2017-10-01,3500000,43143046,8.086,12846,indie
Finding Dory,tt2277860,2016-06-16,200000000,1029266989,7.042,12737,indie
Your Name.,tt5311514,2016-07-01,7500000,405320132,8.481,12731,indie
John Wick: Chapter 3 - Parabellum,tt6146586,2019-05-15,55000000,328349908,7.4,11886,indie
Now You See Me 2,tt3110958,2016-06-02,120000000,334897606,6.826,11684,indie
Soul,tt2948372,2020-12-25,150000000,121977511,8.09,11559,indie
Black Widow,tt3480822,2021-07-07,200000000,379751131,7.162,11375,indie
Spectre,tt2379713,2015-10-26,245000000,880707597,6.571,11343,indie
Venom: Let There Be Carnage,tt7097896,2021-09-30,110000000,506863592,6.74,11265,indie
Kong: Skull Island,tt3731562,2017-03-08,185000000,566652812,6.556,11225,indie
Kingsman: The Golden Circle,tt4649466,2017-09-20,104000000,410902662,6.946,11224,indie
Maze Runner: The Scorch Trials,tt4046784,2015-09-09,61000000,312296056,6.731,11134,indie
"Three Billboards Outside Ebbing, Missouri",tt5027774,2017-12-01,15000000,162729321,8.053,11024,indie
Star Wars: The Rise of Skywalker,tt2527338,2019-12-18,489900000,1074144248,6.262,10960,indie
Toy Story 4,tt1979376,2019-06-19,175000000,1073841394,7.464,10787,indie
Godzilla vs. Kong,tt5034838,2021-03-24,200000000,470116094,7.531,10714,indie
Bird Box,tt2737304,2018-12-13,19800000,0,6.826,10692,indie
Murder on the Orient Express,tt3402236,2017-11-03,55000000,352800000,6.707,10619,indie
Miss Peregrine's Home for Peculiar Children,tt1935859,2016-09-28,110000000,296482446,6.84,10544,indie
Hidden Figures,tt4846340,2016-12-10,25000000,235957472,8.045,10533,indie
Shang-Chi and the Legend of the Ten Rings,tt9376612,2021-09-01,150000000,432243292,7.492,10529,indie
Jojo Rabbit,tt2584384,2019-10-18,14000000,82468705,7.98,10527,indie
Doctor Strange in the Multiverse of Madness,tt9419884,2022-05-04,295400000,955775804,7.231,10519,indie
Insurgent,tt2908446,2015-03-18,110000000,297002527,6.36,10506,indie
Frozen II,tt4520988,2019-11-20,150000000,1453683476,7.229,10361,indie
Shazam!,tt0448115,2019-03-29,80000000,367799011,6.974,10305,indie
Encanto,tt2953050,2021-10-13,150000000,261292688,7.567,10291,indie
Alita: Battle Angel,tt0437086,2019-01-31,170000000,405000000,7.268,10193,indie
The Greatest Showman,tt1485796,2017-12-20,84000000,459066134,7.857,10129,indie
Free Guy,tt6264654,2021-08-11,110000000,331526598,7.446,9967,indie
War for the Planet of the Apes,tt3450958,2017-07-11,150000000,490719763,7.221,9813,indie
Room,tt3170832,2015-10-16,13000000,35401758,7.99,9748,indie
It Chapter Two,tt7349950,2019-09-04,79000000,473123154,6.837,9725,indie
Sicario,tt3397884,2015-09-17,30000000,84997446,7.423,9691,indie
365 Days,tt10886166,2020-02-07,0,9458590,6.992,9558,indie
Alien: Covenant,tt2316204,2017-05-09,97000000,240891763,6.182,9530,indie
Don't Look Up,tt11286314,2021-12-08,75000000,791863,7.06,9482,indie
Jumanji: The Next Level,tt7975244,2019-12-04,125000000,801693929,6.872,9462,indie
Solo: A Star Wars Story,tt3778644,2018-05-15,250000000,392952373,6.6,9364,indie
The Conjuring 2,tt3065204,2016-06-08,40000000,322819915,7.294,9289,indie
Eternals,tt9032400,2021-11-03,200000000,402064899,6.8,9256,indie
Glass,tt6823368,2019-01-16,20000000,246999039,6.665,9161,indie
Ford v Ferrari,tt1950186,2019-11-13,97600000,225508210,8.008,9121,indie
Lady Bird,tt4925292,2017-09-01,10000000,79000000,7.251,9082,indie
Puss in Boots: The Last Wish,tt3915174,2022-12-07,90000000,484700000,8.212,9045,indie
Luca,tt12801262,2021-06-17,200000000,51074773,7.779,9019,indie
Deadpool & Wolverine,tt6263850,2024-07-24,200000000,1338073645,7.581,9011,indie
Spotlight,tt1895587,2015-11-06,20000000,98690254,7.811,8862,indie
Spider-Man: Across the Spider-Verse,tt9362722,2023-05-31,100000000,690897910,8.339,8853,indie
Bad Boys for Life,tt1502397,2020-01-15,90000000,426505244,7.113,8807,indie
10 Cloverfield Lane,tt1179933,2016-03-10,15000000,110216998,7.006,8779,indie
The Nice Guys,tt3799694,2016-05-15,50000000,71261763,7.132,8762,indie
To All the Boys I've Loved Before,tt3846674,2018-08-17,0,0,7.593,8737,indie
Hereditary,tt7784604,2018-06-07,10000000,87796204,7.293,8735,indie
Thor: Love and Thunder,tt10648342,2022-07-06,250000000,760928081,6.368,8698,indie
Chappie,tt1823672,2015-03-04,49000000,104399548,6.79,8552,indie
After,tt4126476,2019-04-11,14000000,69497587,7.104,8544,indie
Guardians of the Galaxy Vol. 3,tt6791350,2023-05-03,250000000,845550000,7.931,8537,indie
Train to Busan,tt5700672,2016-07-20,8500000,87547518,7.753,8519,indie
Nobody,tt7888964,2021-03-18,16000000,57512470,7.872,8501,indie
Sing,tt3470600,2016-11-23,75000000,634151679,7.125,8494,indie
Maze Runner: The Death Cure,tt4500922,2018-01-10,62000000,288418190,7.08,8488,indie
Nocturnal Animals,tt4550098,2016-11-04,22500000,29300000,7.409,8344,indie
Wonder,tt2543472,2017-11-13,20000000,315025930,8.104,8316,indie
Dune: Part Two,tt15239678,2024-02-27,190000000,714844358,8.13,8247,indie
Midsommar,tt8772262,2019-07-03,9000000,48498408,7.148,8235,indie
Ralph Breaks the Internet,tt5848272,2018-11-20,175000000,529323962,7.158,8179,indie
Assassin's Creed,tt2094766,2016-12-21,125000000,240700000,5.4,8174,indie
Everything Everywhere All at Once,tt6710474,2022-03-24,25000000,139200000,7.714,8172,indie
BlacKkKlansman,tt7349662,2018-08-09,15000000,93411426,7.488,8159,indie
Valerian and the City of a Thousand Planets,tt2239822,2017-07-19,177200000,225973340,6.654,8112,indie
Pixels,tt2120120,2015-07-16,88000000,244874809,5.784,8109,indie
John Wick: Chapter 4,tt10366206,2023-03-21,100000000,447316405,7.711,8107,indie
Don't Breathe,tt4160708,2016-06-08,9900000,158906350,7.014,8051,indie
Creed,tt3076658,2015-11-25,37000000,173600000,7.407,8032,indie
Life,tt5442430,2017-03-22,58000000,100541806,6.459,8001,indie
The Platform,tt8228288,2019-11-08,1203235,1090116,6.969,7895,indie
Prey,tt11866324,2022-08-02,65000000,0,7.658,7836,indie
Sausage Party,tt1700841,2016-07-11,19000000,140705322,5.755,7764,indie
The Witch,tt4263482,2016-02-19,4000000,40423945,7.0,7750,indie
Bullet Train,tt12593682,2022-08-03,90000000,239268602,7.4,7695,indie
Rampage,tt2231461,2018-04-11,120000000,428028233,6.469,7630,indie
Moonlight,tt4975722,2016-10-21,4000000,65046687,7.357,7594,indie
The Irishman,tt1302006,2019-11-01,159000000,968853,7.575,7594,indie
Black Panther: Wakanda Forever,tt9114286,2022-11-09,250000000,859102154,7.004,7588,indie
The Boss Baby,tt3874544,2017-03-23,125000000,527965936,6.454,7513,indie
The Kissing Booth,tt3799232,2018-05-11,0,0,7.16,7492,indie
